date,Very dry,Very wet,Median,2021 to date
1900-01-01,0.0,1.2100000000000002,0.0,0.0
1900-01-02,0.0,10.24,0.0,4.0
1900-01-03,0.0,16.47,0.45,4.2
1900-01-04,0.0,20.04,1.6,4.2
1900-01-05,0.0,31.700000000000003,2.25,22.4
1900-01-06,0.0,34.980000000000004,4.3,22.4
1900-01-07,0.0,35.160000000000004,5.9,22.4
1900-01-08,0.0,42.72000000000003,10.7,22.4
1900-01-09,0.36000000000000015,54.150000000000006,10.7,26.599999999999998
1900-01-10,0.36000000000000015,59.86000000000003,11.2,29.2
1900-01-11,0.36000000000000015,59.880000000000024,11.2,29.2
1900-01-12,0.5800000000000001,59.880000000000024,13.2,29.2
1900-01-13,0.7800000000000001,59.880000000000024,13.799999999999999,29.2
1900-01-14,1.0700000000000003,63.48000000000001,15.599999999999998,29.2
1900-01-15,1.9100000000000004,68.97,17.85,29.2
1900-01-16,1.9100000000000004,69.41999999999999,18.45,29.2
1900-01-17,2.045,74.08000000000001,24.5,29.2
1900-01-18,2.365,82.52,26.5,29.2
1900-01-19,5.280000000000001,89.08,26.5,29.2
1900-01-20,5.280000000000001,90.29000000000002,30.6,29.2
1900-01-21,5.49,102.35000000000001,34.55,29.2
1900-01-22,10.080000000000002,105.13,36.45,29.2
1900-01-23,10.080000000000002,109.33,39.349999999999994,29.2
1900-01-24,10.080000000000002,117.34000000000003,46.099999999999994,29.2
1900-01-25,11.12,120.12000000000003,51.1,29.2
1900-01-26,11.930000000000001,130.92000000000002,53.400000000000006,29.2
1900-01-27,11.930000000000001,132.18,53.400000000000006,29.2
1900-01-28,11.930000000000001,160.29000000000005,61.400000000000006,29.2
1900-01-29,12.36,189.54000000000002,61.400000000000006,34.2
1900-01-30,12.36,193.32000000000005,68.85,40.400000000000006
1900-01-31,12.36,193.32000000000005,75.3,40.400000000000006
1900-02-01,12.36,201.70000000000002,76.94999999999999,40.400000000000006
1900-02-02,12.36,208.98,80.15,55.400000000000006
1900-02-03,12.36,219.7,82.75,55.400000000000006
1900-02-04,13.44,229.14,82.75,55.400000000000006
1900-02-05,13.44,229.33999999999997,88.4,55.400000000000006
1900-02-06,13.45,229.33999999999997,90.5,55.400000000000006
1900-02-07,13.45,233.07999999999998,91.45000000000002,55.400000000000006
1900-02-08,16.79,233.07999999999998,103.89999999999999,55.400000000000006
1900-02-09,21.770000000000003,233.94,106.8,55.400000000000006
1900-02-10,22.220000000000002,233.94,106.8,55.400000000000006
1900-02-11,33.42,254.45000000000002,111.9,55.400000000000006
1900-02-12,35.60000000000001,254.59,114.94999999999999,55.400000000000006
1900-02-13,41.220000000000006,256.19,118.84999999999998,55.400000000000006
1900-02-14,41.220000000000006,256.19,119.09999999999998,87.4
1900-02-15,41.220000000000006,274.38,122.25,87.4
1900-02-16,44.27000000000001,276.13999999999993,123.80000000000001,97.4
1900-02-17,46.61,276.43999999999994,123.80000000000001,104.60000000000001
