date,Very dry,Very wet,Median,2021-22 to date
1900-07-01,0.0,3.0,0.0,0.6
1900-07-02,0.0,3.5999999999999996,0.0,4.8
1900-07-03,0.0,10.149999999999999,0.6,4.8
1900-07-04,0.0,10.549999999999999,1.2,4.8
1900-07-05,0.0,22.400000000000002,2.0,4.8
1900-07-06,0.0,25.549999999999997,3.0,4.8
1900-07-07,0.0,26.75,3.15,4.8
1900-07-08,0.0,28.049999999999997,4.7,4.8
1900-07-09,0.0,32.7,5.6000000000000005,5.0
1900-07-10,0.1,38.75,6.4,10.2
1900-07-11,0.35,40.0,8.25,15.2
1900-07-12,0.35,43.60000000000001,8.75,15.799999999999999
1900-07-13,0.35,47.5,10.399999999999999,16.4
1900-07-14,0.35,56.25,10.399999999999999,16.4
1900-07-15,0.55,56.849999999999994,10.399999999999999,17.0
1900-07-16,0.55,56.849999999999994,10.9,17.6
1900-07-17,0.55,59.4,12.55,18.0
1900-07-18,0.7000000000000001,59.4,12.55,18.0
1900-07-19,0.7000000000000001,59.4,13.15,18.0
1900-07-20,1.0,61.75,18.2,18.0
1900-07-21,1.0,67.15,18.849999999999998,18.0
1900-07-22,1.0,75.1,19.049999999999997,18.0
1900-07-23,1.0,79.45,22.25,18.4
1900-07-24,1.0,79.45,22.349999999999998,19.0
1900-07-25,1.2999999999999998,79.45,26.799999999999997,19.0
1900-07-26,1.6,80.65,27.099999999999998,19.0
1900-07-27,1.6,86.0,29.2,19.0
1900-07-28,1.6,107.80000000000001,30.200000000000003,19.0
1900-07-29,2.4000000000000004,110.05000000000001,33.6,19.0
1900-07-30,2.5,110.05000000000001,33.7,19.0
1900-07-31,2.5,110.05000000000001,33.7,19.0
1900-08-01,4.0,116.20000000000002,33.7,19.0
1900-08-02,5.6,139.65,33.7,19.0
1900-08-03,6.8,139.85000000000002,33.849999999999994,23.0
1900-08-04,7.55,139.85000000000002,35.05,23.0
1900-08-05,7.75,139.85000000000002,36.55,23.0
1900-08-06,7.75,149.64999999999998,37.0,23.0
1900-08-07,8.4,151.0,37.0,23.0
1900-08-08,9.7,160.39999999999998,37.0,23.4
1900-08-09,9.7,160.39999999999998,37.0,24.4
1900-08-10,9.7,160.39999999999998,37.0,24.4
1900-08-11,9.7,162.69999999999996,37.05,24.4
1900-08-12,9.7,163.99999999999994,37.3,24.4
1900-08-13,10.600000000000001,165.09999999999997,38.85,24.4
1900-08-14,10.600000000000001,165.09999999999997,39.25,24.4
1900-08-15,10.600000000000001,169.54999999999995,39.25,24.4
1900-08-16,10.600000000000001,169.54999999999995,40.400000000000006,24.4
1900-08-17,10.600000000000001,169.74999999999997,41.9,24.4
1900-08-18,11.2,169.95,45.0,24.4
1900-08-19,12.8,173.55,45.8,24.4
1900-08-20,12.8,180.95,45.8,24.4
1900-08-21,12.8,181.55,48.4,24.4
1900-08-22,12.8,181.75,50.150000000000006,24.4
1900-08-23,12.8,184.55,57.95,24.4
1900-08-24,12.9,194.34999999999997,59.1,58.4
1900-08-25,15.700000000000001,198.79999999999995,60.75,95.4
1900-08-26,19.700000000000003,198.79999999999995,60.75,95.4
1900-08-27,19.8,199.29999999999995,60.75,95.4
1900-08-28,19.8,201.99999999999997,61.5,95.4
1900-08-29,20.4,203.39999999999998,62.15,95.4
1900-08-30,21.1,203.7,62.85000000000001,95.80000000000001
1900-08-31,21.1,204.49999999999997,63.4,95.80000000000001
1900-09-01,21.1,204.49999999999997,66.69999999999999,95.80000000000001
1900-09-02,21.1,207.29999999999995,71.0,95.80000000000001
1900-09-03,21.999999999999996,210.2,71.0,95.80000000000001
1900-09-04,24.4,211.39999999999998,76.25,95.80000000000001
1900-09-05,24.5,214.89999999999998,77.6,108.20000000000002
1900-09-06,25.0,216.65000000000003,81.70000000000002,108.40000000000002
1900-09-07,25.6,220.95000000000005,83.20000000000002,108.40000000000002
1900-09-08,28.9,224.2,83.20000000000002,108.40000000000002
1900-09-09,29.1,224.55,83.20000000000002,108.40000000000002
1900-09-10,30.199999999999996,229.89999999999998,84.75,108.40000000000002
1900-09-11,30.4,230.2,85.85000000000001,108.40000000000002
1900-09-12,31.699999999999996,230.2,85.85000000000001,108.40000000000002
1900-09-13,31.699999999999996,230.6,85.85000000000001,108.40000000000002
1900-09-14,31.999999999999993,231.0,85.85000000000001,124.40000000000002
1900-09-15,31.999999999999993,231.0,87.85,124.60000000000002
1900-09-16,32.099999999999994,238.14999999999998,92.5,124.60000000000002
1900-09-17,37.8,257.45,95.6,124.60000000000002
1900-09-18,39.3,259.05,95.69999999999999,124.60000000000002
1900-09-19,39.3,266.59999999999997,96.19999999999999,124.60000000000002
1900-09-20,39.3,266.69999999999993,103.4,124.60000000000002
1900-09-21,39.39999999999999,266.69999999999993,105.80000000000001,124.60000000000002
1900-09-22,39.39999999999999,267.19999999999993,106.00000000000001,124.60000000000002
1900-09-23,39.39999999999999,267.19999999999993,106.00000000000001,124.60000000000002
1900-09-24,39.5,267.19999999999993,106.00000000000001,124.60000000000002
1900-09-25,41.949999999999996,267.79999999999995,109.35,124.60000000000002
1900-09-26,41.949999999999996,282.65,110.4,125.00000000000003
1900-09-27,42.699999999999996,287.65,111.00000000000003,125.40000000000003
1900-09-28,43.3,287.65,111.00000000000003,125.40000000000003
1900-09-29,44.5,292.35,111.30000000000001,127.00000000000003
1900-09-30,45.400000000000006,294.1,112.3,131.00000000000003
