date,Very dry,Very wet,Median,2021 to date
1900-01-01,0.0,12.0,0.0,8.8
1900-01-02,0.0,22.9,1.0,8.8
1900-01-03,0.0,37.099999999999994,3.8,17.1
1900-01-04,0.0,39.7,6.3,20.1
1900-01-05,0.5,57.0,9.5,31.3
1900-01-06,0.8,64.5,17.0,31.3
1900-01-07,1.7999999999999998,70.3,19.6,43.5
1900-01-08,2.4,84.2,23.4,57.3
1900-01-09,2.4,87.19999999999999,25.0,57.699999999999996
1900-01-10,2.4,96.99999999999999,29.2,57.9
1900-01-11,3.2,105.20000000000002,30.799999999999997,57.9
1900-01-12,4.8,129.8,35.2,57.9
1900-01-13,5.6000000000000005,136.4,36.9,57.9
1900-01-14,9.1,145.5,37.3,57.9
1900-01-15,10.0,166.1,39.60000000000001,57.9
1900-01-16,11.8,166.1,45.699999999999996,57.9
1900-01-17,13.0,168.6,60.1,57.9
1900-01-18,14.166666666666668,190.3,62.0,57.9
1900-01-19,14.599999999999998,196.0,63.900000000000006,57.9
1900-01-20,15.5,204.8,68.8,62.699999999999996
1900-01-21,17.799999999999997,204.8,74.6,62.9
1900-01-22,21.6,210.9,79.1,62.9
1900-01-23,26.0,230.0,79.8,62.9
1900-01-24,26.6,238.3,90.19999999999999,62.9
1900-01-25,30.6,238.40000000000003,91.7,67.9
1900-01-26,31.3,239.1,99.3,67.9
1900-01-27,37.199999999999996,245.7,106.39999999999999,68.7
1900-01-28,38.6,251.79999999999998,114.29999999999998,91.30000000000001
1900-01-29,38.6,259.0,118.39999999999998,116.50000000000001
1900-01-30,41.9,263.7000000000001,119.19999999999997,129.10000000000002
1900-01-31,41.9,268.8666666666667,124.4,135.3
1900-02-01,42.2,271.7,129.8,146.10000000000002
1900-02-02,45.20000000000001,299.2,131.6,180.3
1900-02-03,46.00000000000001,313.69999999999993,144.29999999999998,181.10000000000002
1900-02-04,46.00000000000001,318.1,144.5,181.3
1900-02-05,50.3,318.1,144.5,182.9
1900-02-06,51.199999999999996,334.59999999999997,147.60000000000002,184.5
1900-02-07,53.00000000000001,362.4,159.0,189.3
1900-02-08,55.4,375.49999999999994,167.6,191.5
1900-02-09,57.00000000000001,398.8,170.99999999999997,194.5
1900-02-10,58.4,405.40000000000003,186.69999999999996,194.5
1900-02-11,60.49999999999999,427.29999999999995,193.19999999999996,194.5
1900-02-12,64.60000000000001,451.8999999999999,201.7,194.63333333333333
1900-02-13,68.9,452.4,212.3,207.23333333333332
1900-02-14,69.89999999999999,454.79999999999995,221.2,229.23333333333332
1900-02-15,69.89999999999999,459.59999999999997,228.30000000000013,229.23333333333332
1900-02-16,73.60000000000001,461.59999999999997,240.2,236.53333333333333
1900-02-17,75.39999999999998,462.99999999999994,240.2,268.1333333333333
1900-02-18,81.69999999999999,462.99999999999994,240.2,274.1333333333333
1900-02-19,81.69999999999999,480.8999999999999,243.3,274.1333333333333
1900-02-20,82.59999999999998,489.80000000000007,248.60000000000002,282.23333333333335
1900-02-21,84.69999999999999,505.40000000000003,252.4000000000001,282.43333333333334
1900-02-22,86.89999999999999,546.5,263.6,291.03333333333336
