date,Very dry,Very wet,Median,2022 to date
1900-01-01,0.0,5.499999999999998,0.0,0.0
1900-01-02,0.0,15.7,0.3,0.0
1900-01-03,0.0,24.279999999999998,2.0,0.0
1900-01-04,0.0,29.199999999999992,4.6,0.0
1900-01-05,0.0,32.39999999999999,6.8,2.8
1900-01-06,0.0,43.19999999999999,9.1,16.2
1900-01-07,0.06000000000000032,44.879999999999995,10.2,17.0
1900-01-08,0.4400000000000003,45.82,13.799999999999999,41.6
1900-01-09,0.8400000000000003,46.879999999999995,17.0,42.0
1900-01-10,1.0600000000000003,50.27999999999999,18.400000000000002,42.0
1900-01-11,1.4400000000000002,51.0,21.400000000000002,42.0
1900-01-12,1.4400000000000002,70.41999999999996,21.6,42.0
1900-01-13,1.7400000000000007,72.31999999999998,23.2,55.8
1900-01-14,2.6800000000000006,81.0,24.200000000000003,93.8
1900-01-15,2.6800000000000006,84.64,26.900000000000002,94.39999999999999
1900-01-16,3.8800000000000003,88.07999999999998,27.799999999999997,94.39999999999999
1900-01-17,4.5200000000000005,96.44,31.200000000000003,94.39999999999999
1900-01-18,5.320000000000002,106.16,33.6,94.39999999999999
1900-01-19,5.800000000000001,115.43999999999997,34.8,101.39999999999999
1900-01-20,6.680000000000001,119.49999999999999,36.0,103.99999999999999
1900-01-21,7.280000000000004,125.95999999999998,38.0,104.79999999999998
1900-01-22,11.240000000000002,125.95999999999998,41.6,106.39999999999998
1900-01-23,11.280000000000001,146.20000000000002,49.4,109.79999999999998
1900-01-24,11.320000000000002,168.84,51.199999999999996,110.19999999999999
1900-01-25,12.199999999999998,168.84,52.699999999999996,110.19999999999999
1900-01-26,16.240000000000002,169.24,56.0,110.19999999999999
1900-01-27,18.799999999999997,171.88,58.099999999999994,110.19999999999999
1900-01-28,19.8,172.03999999999996,63.400000000000006,110.19999999999999
1900-01-29,21.360000000000007,181.27999999999994,64.9,110.19999999999999
1900-01-30,21.360000000000007,181.27999999999994,67.49999999999999,110.19999999999999
1900-01-31,24.800000000000004,181.75999999999993,71.2,110.19999999999999
1900-02-01,24.800000000000004,198.12,73.80000000000001,110.19999999999999
1900-02-02,24.800000000000004,203.92,79.9,127.19999999999999
1900-02-03,26.03,215.43999999999997,85.10000000000001,130.2
1900-02-04,26.03,215.83999999999997,85.19999999999999,130.79999999999998
1900-02-05,26.490000000000006,222.35999999999999,85.19999999999999,139.39999999999998
1900-02-06,26.490000000000006,229.71999999999997,86.19999999999999,140.79999999999998
1900-02-07,28.980000000000004,236.11999999999995,91.39999999999999,143.2
1900-02-08,29.020000000000003,237.19999999999993,94.89999999999996,155.0
1900-02-09,29.880000000000006,259.31999999999994,104.79999999999998,159.8
1900-02-10,30.52,298.93999999999994,110.19999999999996,159.8
1900-02-11,30.52,306.6,114.1,164.4
1900-02-12,32.919999999999995,307.96000000000004,115.4,169.6
1900-02-13,34.5,307.96000000000004,116.69999999999999,185.2
1900-02-14,35.660000000000004,307.96000000000004,125.29999999999998,185.2
1900-02-15,40.5,307.96000000000004,131.20000000000002,185.2
1900-02-16,40.52,312.56,138.99999999999997,185.39999999999998
1900-02-17,40.52,318.56000000000006,142.2,185.39999999999998
1900-02-18,40.58,319.84000000000003,146.4,186.39999999999998
1900-02-19,41.230000000000004,320.36,149.29999999999998,186.59999999999997
1900-02-20,42.88,328.28,152.99999999999997,186.59999999999997
1900-02-21,49.72,328.68,157.7,186.59999999999997
1900-02-22,51.86000000000001,331.78000000000003,159.2,189.59999999999997
1900-02-23,52.46,339.14,160.60000000000002,326.79999999999995
1900-02-24,53.17999999999999,357.21999999999997,160.80000000000004,
1900-02-25,53.25999999999999,368.58,161.0,
1900-02-26,56.660000000000004,369.03999999999996,167.4,
1900-02-27,56.660000000000004,369.03999999999996,168.0,
1900-02-28,57.120000000000005,369.03999999999996,179.3,
1900-03-01,57.28000000000001,369.52,181.70000000000002,
1900-03-02,61.75999999999999,369.84,182.0,
1900-03-03,62.11999999999999,370.03999999999996,187.1,
1900-03-04,64.11999999999999,394.11999999999995,187.1,
1900-03-05,64.11999999999999,394.11999999999995,190.4,
1900-03-06,70.16000000000001,394.91999999999996,197.50000000000009,
1900-03-07,79.24,395.93999999999994,206.4,
1900-03-08,80.03999999999999,401.6399999999999,212.99999999999997,
1900-03-09,80.03999999999999,408.0,214.20000000000002,
1900-03-10,80.12,408.87999999999994,214.60000000000002,
1900-03-11,85.39999999999999,462.75999999999976,214.60000000000002,
1900-03-12,89.55999999999999,478.29999999999984,221.40000000000003,
1900-03-13,90.03999999999999,493.7599999999998,230.80000000000004,
1900-03-14,90.03999999999999,493.7599999999998,231.10000000000005,
1900-03-15,90.03999999999999,493.7599999999998,233.60000000000005,
1900-03-16,90.67999999999999,495.5199999999998,237.0,
1900-03-17,102.36000000000003,496.3999999999998,237.0,
