date,Very dry,Very wet,Median,2021 to date
1900-01-01,0.0,10.2,0.0,37.2
1900-01-02,0.0,23.0,0.0,44.800000000000004
1900-01-03,0.0,45.0,2.0,60.400000000000006
1900-01-04,0.0,48.5,3.6,75.0
1900-01-05,0.0,58.9,6.6000000000000005,103.4
1900-01-06,0.0,64.80000000000001,11.8,103.4
1900-01-07,0.5,67.6,14.4,152.4
1900-01-08,0.8,82.8,16.799999999999997,153.6
1900-01-09,1.0,87.3,19.400000000000002,158.6
1900-01-10,1.8,92.9,22.700000000000003,159.2
1900-01-11,2.0,95.39999999999999,23.4,159.39999999999998
1900-01-12,3.6,106.7,30.5,159.39999999999998
1900-01-13,5.1,110.4,31.6,159.39999999999998
1900-01-14,6.199999999999999,123.69999999999999,34.1,159.39999999999998
1900-01-15,6.6,123.69999999999999,36.3,179.2
1900-01-16,8.899999999999999,135.49999999999997,42.2,185.6
1900-01-17,11.0,135.9,45.400000000000006,185.6
1900-01-18,14.8,136.69999999999996,52.89999999999999,185.6
1900-01-19,17.900000000000002,153.9,55.49999999999999,185.6
1900-01-20,19.0,173.3,60.699999999999996,203.0
1900-01-21,21.200000000000003,185.20000000000002,65.89999999999999,203.0
1900-01-22,23.6,185.70000000000002,74.2,203.0
1900-01-23,24.300000000000004,193.0,83.39999999999999,203.0
1900-01-24,26.3,200.20000000000002,87.19999999999999,203.0
1900-01-25,26.900000000000002,209.89999999999998,91.09999999999998,203.0
1900-01-26,27.2,211.29999999999995,93.39999999999999,203.0
1900-01-27,28.200000000000003,222.10000000000005,98.0,203.0
1900-01-28,31.4,231.40000000000003,100.0,203.0
1900-01-29,32.6,245.10000000000002,101.6,224.8
1900-01-30,34.8,246.20000000000002,105.99999999999999,232.4
1900-01-31,35.3,247.40000000000003,107.6,232.4
1900-02-01,42.29999999999998,260.30000000000007,114.69999999999997,232.6
1900-02-02,44.099999999999994,263.9000000000001,114.89999999999999,232.6
1900-02-03,47.1,278.6000000000001,116.09999999999998,232.6
1900-02-04,47.1,279.0,119.69999999999999,232.6
1900-02-05,52.6,280.0999999999999,122.89999999999996,232.6
1900-02-06,52.6,290.2,126.8,232.6
1900-02-07,54.400000000000006,301.2999999999999,133.5,238.4
1900-02-08,55.1,306.2999999999999,136.39999999999998,238.4
1900-02-09,59.09999999999999,316.59999999999997,141.49999999999997,239.6
1900-02-10,69.35000000000001,329.90000000000003,154.59999999999997,242.2
1900-02-11,69.35000000000001,329.90000000000003,163.09999999999997,244.6
1900-02-12,72.6,339.59999999999997,169.5,244.6
1900-02-13,74.89999999999999,344.79999999999995,172.79999999999995,244.6
1900-02-14,81.6,363.20000000000005,175.79999999999998,277.2
1900-02-15,81.6,363.20000000000005,176.29999999999998,277.4
1900-02-16,83.29999999999998,364.00000000000006,194.19999999999996,281.2
1900-02-17,91.75,374.20000000000005,215.70000000000002,288.2
1900-02-18,97.5,383.40000000000003,221.5,305.4
1900-02-19,97.89999999999999,404.6000000000001,229.0,319.4
1900-02-20,101.39999999999999,439.99999999999994,238.70000000000002,378.4
1900-02-21,104.0,451.0,246.09999999999997,432.79999999999995
1900-02-22,104.0,451.0,259.8999999999999,557.1999999999999
1900-02-23,104.0,453.99999999999994,264.59999999999997,557.1999999999999
1900-02-24,113.99999999999999,460.3999999999999,264.59999999999997,575.4
1900-02-25,118.39999999999999,482.59999999999985,268.3000000000001,579.0
1900-02-26,120.89999999999998,482.79999999999984,274.8,579.2
1900-02-27,127.79999999999998,491.59999999999985,279.0,579.2
1900-02-28,128.99999999999997,507.4,280.00000000000006,606.0
1900-03-01,130.60000000000002,507.4,280.00000000000006,606.8
1900-03-02,130.60000000000002,515.8999999999999,285.30000000000007,607.1999999999999
1900-03-03,132.29999999999998,527.4999999999999,290.50000000000006,608.4
1900-03-04,142.7,541.7000000000002,294.20000000000005,612.8
1900-03-05,146.4,541.7000000000002,300.40000000000003,612.8
1900-03-06,158.5,542.7000000000002,329.30000000000007,612.8
1900-03-07,162.8,542.7000000000002,342.9,614.5999999999999
1900-03-08,162.8,558.8,350.3999999999998,614.5999999999999
1900-03-09,162.8,558.8,350.3999999999998,619.5999999999999
1900-03-10,164.0,567.6000000000001,367.6000000000001,624.3999999999999
1900-03-11,169.29999999999998,573.6666666666666,371.30000000000007,633.7999999999998
1900-03-12,169.29999999999998,573.6666666666666,373.1000000000001,655.3999999999999
1900-03-13,169.29999999999998,577.1000000000001,373.1000000000001,655.7999999999998
1900-03-14,169.29999999999998,580.4000000000001,373.49999999999994,655.7999999999998
1900-03-15,170.1,602.0999999999999,373.49999999999994,664.7999999999998
1900-03-16,171.6,612.9999999999999,374.9000000000001,664.7999999999998
1900-03-17,188.3,612.9999999999999,374.9000000000001,679.3999999999999
1900-03-18,195.39999999999998,612.9999999999999,379.40000000000003,740.7999999999998
1900-03-19,199.3,627.9999999999998,392.4,838.3999999999999
1900-03-20,204.4,639.4999999999999,396.6,1025.8
1900-03-21,204.4,643.4000000000002,405.40000000000003,1088.3999999999999
